video_id,comment
MieBlLblZxQ,Tonton sampai habis &amp; kasih pendapat kalian di kolom komentar!
MieBlLblZxQ,Gibrann gibrann ampun dah
MieBlLblZxQ,DURASI KURANG SAAATTTGGGHHH
MieBlLblZxQ,"Audionya tolong diperhatiin, pas ngobrol suara kecil pas ketawa suara kenceng"
MieBlLblZxQ,"Suaranya terlalu kecil, tidak terlalu kedengaran walau pakai earphone juga"
MieBlLblZxQ,setuju
MieBlLblZxQ,"Saran bang, <br>Jika host nya ngomong yg nyaut in sbisa mungkin hrs bintangtamunya, jgn co hostnya. Coki trllu gmpng nyaut ketika bang feri ngomong."
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2462"">41:02</a> 😂😂😂"
MieBlLblZxQ,"Saya sebagai ibu2 parnoan juga jdi peneliti sendiri soal kedokteran, dokkkk tolong donk di spill dokter2 anak di indonesia yg ipknya di atas 3.7 dari UGM"
MieBlLblZxQ,ya wajar banyak malpratek dan miss diagnosis di indo. Wong dokternya semua tittle give away dah tu IDI nya kuat kali. Gak semua dokter indo gak berotak btw. masih ada sedikit yang bagus... sangatttt sedikit jumlahnya sampai fully booked. Mau jumpa dia ngantri lama banget. Jadi orang indo mohon jangan sakit yang aneh - aneh.. kalau kena sakit yang aneh aneh wasalam.. BPJS pun gak bisa selamatin.
MieBlLblZxQ,"Bahas dong, mengapa kuliah s1 keguruan blm di katakan profesional. Dan setelah lulus harus mengikuti kuliah program profesional mengapa??"
MieBlLblZxQ,👍
MieBlLblZxQ,"hufttt, banyak sekali gesture, sarkas, dan point yg sangat penting di episode ini. sangat tersampaikan dan membuka banyak wawasan di otak untuk lebih berfikir. gokil 🤣"
MieBlLblZxQ,Permasalahannya di indonesa itu yg jadi dokter itu bukan karna dia pintar tapi karna kaya tapi GK semua ya
MieBlLblZxQ,Keren banget 1 jam 33 menit berasa kurang. Penutup yang gokil pisange bosoook.. 🤣🤣🤣
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4756"">1:19:16</a> bener lagi, baru baru ini mcu untuk keperluan kerja dan ketauan ternyata kena hematuria (darah dalam uriine) sama proteinuria (protein). Karena tidak menjaga pola hidup merokok, over minum-minuman manis, begadang, mager, dan sekarang stop itu semua. tapi Alhamdulillah ketauan diumur masih muda dan dokter juga masih menyarankan perubahan pola hidup dulu daripada langsung obat-obatan 😅."
MieBlLblZxQ,😂😂
MieBlLblZxQ,"Di realita dokter ternyata banyak yang gacha ya, dan untungnya diberikan 1 tips mudah untuk mengetahui dokter yang kompetan dan tidak. Semoga di negara wakanda kedepannya lebih meningkatkan kualitas dokter dari pada kuantitasnya agar tepat dalam mendiagnosis penyakit karena trust no 1 dan berlaku di semua bidang sih."
MieBlLblZxQ,Mantap banget dok makan goreng nya haha 😆
MieBlLblZxQ,nice
MieBlLblZxQ,ini daging semua anjir🫡
